iter	Passed	Remaining
409	4721	6794
410	4733	6782
411	4744	6770
412	4755	6759
413	4766	6747
414	4778	6735
415	4789	6724
416	4801	6713
417	4813	6702
418	4824	6690
419	4836	6678
420	4847	6666
421	4858	6654
422	4870	6644
423	4882	6632
424	4894	6621
425	4905	6609
426	4916	6598
427	4928	6586
428	4939	6574
429	4950	6562
430	4961	6550
431	4973	6539
432	4984	6527
433	4995	6515
434	5006	6503
435	5018	6491
436	5029	6479
437	5040	6467
438	5051	6455
439	5063	6444
440	5074	6431
441	5085	6420
442	5097	6408
443	5109	6398
444	5121	6387
445	5132	6375
446	5144	6364
447	5156	6353
448	5167	6341
449	5178	6329
450	5190	6317
451	5201	6305
452	5212	6293
453	5223	6281
454	5234	6269
455	5245	6258
456	5256	6245
457	5267	6233
458	5278	6221
459	5289	6209
460	5300	6197
461	5312	6186
462	5324	6175
463	5336	6164
464	5348	6153
465	5359	6141
466	5370	6129
467	5381	6117
468	5392	6105
469	5414	6106
470	5425	6093
471	5436	6082
472	5448	6070
473	5459	6058
474	5471	6047
475	5483	6036
476	5494	6024
477	5505	6012
478	5517	6000
479	5528	5988
480	5539	5976
481	5550	5965
482	5562	5953
483	5573	5941
484	5584	5929
485	5595	5917
486	5606	5906
487	5618	5894
488	5629	5883
489	5641	5871
490	5652	5859
491	5663	5847
492	5674	5835
493	5685	5823
494	5696	5812
495	5707	5800
496	5719	5788
497	5730	5776
498	5741	5764
499	5752	5752
500	5763	5740
501	5774	5728
502	5785	5716
503	5797	5705
504	5808	5693
505	5819	5681
506	5831	5670
507	5842	5658
508	5854	5647
509	5866	5636
510	5878	5625
511	5889	5613
512	5901	5601
513	5912	5590
514	5923	5578
515	5934	5566
516	5947	5556
517	5958	5544
518	5970	5533
519	5981	5521
520	5993	5509
521	6004	5498
522	6015	5486
523	6027	5474
524	6038	5463
525	6049	5451
526	6061	5439
527	6072	5428
528	6083	5416
529	6095	5405
530	6106	5393
531	6117	5381
532	6128	5370
533	6140	5358
534	6151	5346
535	6162	5334
536	6173	5323
537	6185	5311
538	6196	5300
539	6208	5288
540	6219	5277
541	6231	5265
542	6242	5253
543	6253	5242
544	6265	5230
545	6276	5218
546	6287	5206
547	6298	5195
548	6309	5183
549	6321	5171
550	6332	5160
551	6343	5148
552	6355	5137
553	6367	5125
554	6378	5114
555	6389	5102
556	6400	5090
557	6412	5079
558	6424	5068
559	6435	5056
560	6446	5044
561	6458	5033
562	6469	5021
563	6481	5010
564	6492	4998
565	6503	4987
566	6514	4975
567	6526	4963
568	6537	4951
569	6548	4940
570	6560	4928
571	6571	4917
572	6583	4905
573	6594	4893
574	6605	4882
575	6617	4871
576	6628	4859
577	6639	4847
578	6650	4835
579	6662	4824
580	6673	4812
581	6684	4801
582	6695	4789
583	6706	4777
584	6718	4765
585	6729	4754
586	6740	4742
587	6752	4731
588	6763	4719
589	6774	4707
590	6785	4696
591	6797	4684
592	6808	4672
593	6819	4660
594	6830	4649
595	6841	4637
596	6852	4626
597	6864	4614
598	6875	4602
599	6886	4591
600	6897	4579
601	6909	4568
602	6921	4556
603	6931	4544
604	6942	4532
605	6953	4521
606	6965	4509
607	6976	4497
608	6987	4486
609	7001	4476
610	7012	4464
611	7024	4453
612	7035	4441
613	7046	4430
614	7058	4418
615	7069	4407
616	7080	4395
617	7092	4383
618	7103	4372
619	7114	4360
620	7126	4349
621	7138	4338
622	7150	4326
623	7162	4315
624	7173	4304
625	7184	4292
626	7195	4280
627	7207	4269
628	7218	4257
629	7229	4245
630	7241	4234
631	7252	4222
632	7263	4211
633	7275	4199
634	7286	4188
635	7297	4176
636	7308	4165
637	7320	4153
638	7331	4141
639	7342	4130
640	7353	4118
641	7365	4106
642	7376	4095
643	7387	4083
644	7398	4072
645	7409	4060
646	7420	4048
647	7432	4037
648	7443	4025
649	7454	4014
650	7466	4002
651	7478	3991
652	7490	3980
653	7501	3968
654	7512	3956
655	7523	3945
656	7535	3934
657	7550	3924
658	7561	3912
659	7572	3901
660	7583	3889
661	7595	3877
662	7607	3866
663	7618	3855
664	7629	3843
665	7641	3832
666	7652	3820
667	7663	3808
668	7674	3797
669	7686	3785
670	7697	3774
671	7708	3762
672	7719	3750
673	7730	3739
674	7742	3727
675	7753	3716
676	7764	3704
677	7775	3692
678	7787	3681
679	7798	3669
680	7809	3658
681	7821	3646
682	7832	3635
683	7844	3623
684	7855	3612
685	7867	3600
686	7878	3589
687	7889	3577
688	7900	3566
689	7912	3554
690	7923	3543
691	7934	3531
692	7946	3520
693	7957	3508
694	7968	3497
695	7980	3485
696	7991	3474
697	8003	3462
698	8015	3451
699	8026	3439
700	8037	3428
701	8049	3416
702	8060	3405
703	8081	3398
704	8092	3386
705	8103	3374
706	8115	3363
707	8126	3351
708	8138	3340
709	8149	3328
710	8160	3317
711	8171	3305
712	8182	3293
